x1,x2
1.0,290.1073902339729
2.0,287.4473640474252
3.0,284.11770641849847
4.0,282.1739196608301
5.0,279.9611220276396
6.0,276.4538331223791
7.0,272.01687146733116
8.0,268.62731851404914
9.0,265.2794569202457
10.0,262.33435451266655
11.0,259.85488588890126
12.0,259.3541053135092
13.0,260.9499057849684
14.0,261.78600891499894
15.0,260.3302885618406
16.0,259.84161243017127
17.0,259.46481567097663
18.0,259.10070425895043
19.0,258.8151082914318
20.0,258.55727375974595
21.0,258.32062381084785
22.0,257.9604312657007
23.0,256.6632242622478
24.0,253.53244250480975
25.0,249.81639760419563
26.0,246.41900278273513
27.0,242.82255403752544
28.0,239.09269422414366
29.0,234.99328883678172
30.0,230.7464067741655
31.0,226.31283538980682
32.0,222.69002919481758
33.0,220.5551387026555
34.0,219.87076737427319
35.0,220.83678132554246
36.0,223.6417327380224
37.0,228.139273346555
38.0,233.43508126637946
39.0,238.57521277825893
40.0,244.8474171995247
41.0,251.14737784124875
42.0,257.9538889036176
43.0,263.74725723293966
44.0,268.19461260699853
45.0,272.0198202001544
46.0,276.26037515862697
47.0,281.0476342477897
48.0,286.9749352602487
49.0,292.25319812312415
50.0,297.0676889689267
51.0,300.53579774386463
52.0,304.74344532356355
53.0,308.8160003082308
54.0,312.94930034451914
55.0,317.12666069269505
56.0,321.04789033729344
57.0,325.6916025747181
58.0,332.356490979849
59.0,338.28291286996915
60.0,343.5437881301836
61.0,347.53056572090594
62.0,350.3818690155082
63.0,352.7432714333638
64.0,357.152813157698
65.0,363.6284572359278
66.0,369.3746020542114
67.0,375.74902376052466
68.0,381.8361126873787
69.0,388.1883650897234
70.0,392.7617479482889
71.0,397.8933723590104
72.0,401.43027300624766
73.0,406.09117837268707
74.0,411.2947437173643
75.0,417.20005529751546
76.0,423.19404525933675
77.0,430.37828826608546
78.0,437.69068256700353
79.0,444.5847019336154
80.0,450.78872600292965
81.0,458.5923270610795
82.0,467.15802184178654
83.0,477.1040089419936
84.0,487.6595284153537
85.0,499.38665062113375
86.0,510.2602750075921
87.0,519.2170729844604
88.0,530.0337676050477
89.0,541.6242712334605
90.0,551.3866794190282
91.0,564.4085898605215
92.0,578.885890330497
93.0,594.2469468746305
94.0,608.3836550671447
95.0,621.1203871291995
96.0,636.1092092700131
97.0,649.1954096861022
98.0,662.7411986824104
99.0,679.9057551781476
100.0,697.5711089888899
101.0,714.9685847119343
102.0,734.9102949981113
103.0,749.8990502713377
104.0,759.892484548529
105.0,769.9461739958159
106.0,779.9484653704958
107.0,789.217292813282
108.0,801.230602367734
109.0,811.2129886310432
110.0,825.3835513395286
111.0,840.0072960459437
112.0,851.009897719321
113.0,860.3661434789087
114.0,872.3197022424677
115.0,885.0415651397752
116.0,896.902368644795
117.0,911.7300910837099
118.0,928.6709296176817
119.0,948.0054099929815
120.0,968.9290717717827
121.0,990.7312775179842
122.0,1010.9246650592354
123.0,1034.3504323050972
124.0,1059.6521231389806
125.0,1086.147208374405
126.0,1116.8893549315562
127.0,1149.9433038655266
128.0,1185.1159166805178
129.0,1224.4872112104779
130.0,1265.1024666966414
131.0,1300.048324814907
132.0,1337.1118523851076
133.0,1378.829754191664
134.0,1421.2813857397548
135.0,1466.4805098316906
136.0,1519.0735079132091
137.0,1575.599728096579
138.0,1638.153473273197
139.0,1703.0930810184086
140.0,1776.1437760578706
141.0,1861.1113312047228
142.0,1962.1975441904876
143.0,2091.9276659446928
144.0,2132.1672140470164
145.0,2165.326539293192
146.0,2196.4412723802366
147.0,2225.119485705171
148.0,2250.492620461132
149.0,2275.376374979595
150.0,2298.3155428416194
151.0,2318.039463491785
152.0,2334.4206842544304
153.0,2349.808036885272
154.0,2361.8127500518967
155.0,2372.625251434774
156.0,2374.383334214002
157.0,2372.331372141826
158.0,2369.475693984201
159.0,2363.870257861359
160.0,2356.5826302343567
161.0,2346.823256356563
162.0,2333.5982668296083
163.0,2322.8530815738322
164.0,2316.333664369963
165.0,2304.4634917680155
166.0,2296.5076821703697
167.0,2289.5664676410897
168.0,2278.9640925727163
169.0,2273.686293000603
170.0,2267.593329780015
171.0,2259.926042362125
172.0,2256.34200111306
173.0,2250.466162328542
174.0,2239.7838404852323
175.0,2235.491183693367
176.0,2225.049430575757
177.0,2205.6547211342563
178.0,1672.680370258154
179.0,-612.0119431111075
