x1,x2
195,1528.0921886165343 (tracked)
196,1521.8836975546535 (tracked)
197,1515.8102828517494 (tracked)
198,1509.7268419201077 (tracked)
199,1504.07868811584 (tracked)
200,1497.847296120179 (tracked)
201,1491.8583196404904 (tracked)
202,1485.9501252373468 (tracked)
203,1480.0899521269116 (tracked)
204,1474.3516487603747 (tracked)
205,1468.0914808014627 (tracked)
206,1462.3598713019044 (tracked)
207,1456.594580859329 (tracked)
208,1451.010080308758 (tracked)
209,1445.4756252976886 (tracked)
210,1439.910223081926 (tracked)
211,1434.3619514883546 (tracked)
212,1428.8789878598836 (tracked)
213,1423.3993936381148 (tracked)
214,1418.009366541488 (tracked)
215,1412.5876120201847 (tracked)
216,1407.3653389142498 (tracked)
217,1402.2802859160568 (tracked)
218,1396.8837094807543 (tracked)
219,1391.6168490505113 (tracked)
220,1386.4342683988828 (tracked)
221,1381.271910433435 (tracked)
222,1376.2672266494164 (tracked)
223,1371.0219584961233 (tracked)
224,1365.8788918286414 (tracked)
225,1360.7398155415822 (tracked)
226,1355.755685876286 (tracked)
227,1350.7867855305017 (tracked)
228,1345.87402583788 (tracked)
229,1340.978299343403 (tracked)
230,1336.114750133871 (tracked)
231,1331.2998136747738 (tracked)
232,1326.497304948631 (tracked)
233,1321.7404472684434 (tracked)
234,1317.0081623034705 (tracked)
235,1312.3104262557986 (tracked)
236,1307.7282479916043 (tracked)
237,1303.161778736277 (tracked)
238,1298.5785855246427 (tracked)
239,1293.9832031566461 (tracked)
240,1289.4528931050054 (tracked)
241,1284.940244599571 (tracked)
242,1280.4492100285802 (tracked)
243,1275.990736447957 (tracked)
244,1271.4671872568963 (tracked)
245,1267.0393764884934 (tracked)
246,1262.5820259968264 (tracked)
247,1258.2234039712887 (tracked)
248,1253.9120883981332 (tracked)
249,1249.5823203105522 (tracked)
250,1245.2843648959179 (tracked)
251,1241.0570172953423 (tracked)
252,1236.8053488775984 (tracked)
253,1232.5808771997497 (tracked)
254,1228.4179288157534 (tracked)
255,1224.2537208433741 (tracked)
256,1220.1515723861494 (tracked)
257,1216.1227440208302 (tracked)
258,1212.2172158787482 (tracked)
259,1208.1856244266987 (tracked)
260,1204.294742202852 (tracked)
261,1200.294255289886 (tracked)
262,1196.3254543187466 (tracked)
263,1192.2799814091743 (tracked)
264,1188.361990316265 (tracked)
265,1184.465169465263 (tracked)
266,1180.5952706872665 (tracked)
267,1176.6814472911747 (tracked)
268,1172.870166503475 (tracked)
269,1169.0714449526588 (tracked)
270,1165.2647217103506 (tracked)
271,1161.5336846442153 (tracked)
272,1157.7279672085951 (tracked)
273,1154.013097983422 (tracked)
274,1150.3077732908741 (tracked)
275,1146.6550230643334 (tracked)
276,1143.044573677618 (tracked)
277,1139.4842174800904 (tracked)
278,1135.8900081132529 (tracked)
279,1132.3225958031794 (tracked)
280,1128.7219961803535 (tracked)
281,1125.184839116559 (tracked)
282,1121.663480270918 (tracked)
283,1118.1572956315558 (tracked)
284,1114.670202182925 (tracked)
285,1111.2047211646002 (tracked)
286,1107.6874292223729 (tracked)
287,1104.2885235957667 (tracked)
288,1100.8802812367746 (tracked)
289,1097.463439869551 (tracked)
290,1094.0904344605456 (tracked)
291,1090.7713396179713 (tracked)
292,1087.463659981739 (tracked)
293,1084.147265399424 (tracked)
294,1080.8573871459091 (tracked)
295,1077.5775216531183 (tracked)
296,1074.3141936986297 (tracked)
297,1071.067318213258 (tracked)
298,1067.8367897079765 (tracked)
299,1064.633278028655 (tracked)
300,1061.4361429382527 (tracked)
301,1058.2598875690403 (tracked)
302,1055.1195327267583 (tracked)
303,1051.9440811771208 (tracked)
304,1048.8379213230503 (tracked)
305,1045.7286292047863 (tracked)
306,1042.6371854844915 (tracked)
307,1039.5594416754723 (tracked)
308,1036.4906370162623 (tracked)
309,1033.4459505446916 (tracked)
310,1030.4242294083174 (tracked)
311,1027.4209100865369 (tracked)
312,1024.4142531397747 (tracked)
313,1021.4258085283728 (tracked)
314,1018.6548941353091 (tracked)
315,1015.7007595389722 (tracked)
316,1012.685400766561 (tracked)
317,1009.8442301643738 (tracked)
318,1006.8514390504541 (tracked)
319,1003.9823999541347 (tracked)
320,1001.0828973541525 (tracked)
321,998.1034730405568 (tracked)
322,995.2812761635553 (tracked)
323,992.4447394894939 (tracked)
324,989.6254718899178 (tracked)
325,986.6920474334657 (tracked)
326,983.8837051329375 (tracked)
327,981.068927486786 (tracked)
328,978.2726372215544 (tracked)
329,975.528395178567 (tracked)
330,972.7803294508676 (tracked)
331,970.0768545612843 (tracked)
332,967.360314880632 (tracked)
333,964.7207712519199 (tracked)
334,962.0523623565399 (tracked)
335,959.3832298891743 (tracked)
336,956.7427222606163 (tracked)
337,954.092234219781 (tracked)
338,951.4548914522215 (tracked)
339,948.8906278317785 (tracked)
340,946.2762911968005 (tracked)
341,943.6416390574946 (tracked)
342,941.0915255907255 (tracked)
343,938.5378335581778 (tracked)
344,936.0169604367248 (tracked)
345,933.471807040061 (tracked)
346,930.8875650787987 (tracked)
347,928.3280682407689 (tracked)
348,925.8733884712083 (tracked)
349,923.3802708269228 (tracked)
350,920.9262823044979 (tracked)
351,918.4194546438628 (tracked)
352,915.8714287832912 (tracked)
353,913.4265727649492 (tracked)
354,910.9996094330476 (tracked)
355,908.5769346640409 (tracked)
356,906.1615062478336 (tracked)
357,903.750521152862 (tracked)
358,901.356382049391 (tracked)
359,898.9745321297288 (tracked)
360,896.6023355300503 (tracked)
361,894.2437827485743 (tracked)
362,891.8891883550552 (tracked)
363,889.5427529979046 (tracked)
364,887.2130537127904 (tracked)
365,884.8963905452937 (tracked)
366,882.5843846114522 (tracked)
367,880.2861301735048 (tracked)
368,877.9938369351867 (tracked)
369,875.704128487302 (tracked)
370,873.4359665015504 (tracked)
371,871.1772316863756 (tracked)
