x1,x2
1.0,303.4007054531394
2.0,301.0637492801648
3.0,298.3895174363626
4.0,296.67313735874353
5.0,294.76163837329744
6.0,291.7613956880898
7.0,288.15842712223605
8.0,285.2805559047702
9.0,282.5290680565187
10.0,280.00330201777757
11.0,277.9316363022143
12.0,277.4403047989928
13.0,278.51609957067654
14.0,278.7864634333362
15.0,277.49508029357577
16.0,276.93806596598364
17.0,276.4136918513
18.0,275.95799309131326
19.0,275.5247987903242
20.0,275.1324500580448
21.0,274.7404179337697
22.0,274.25740829142336
23.0,272.97261315823346
24.0,270.33670188923094
25.0,267.2919181914807
26.0,264.4936835642948
27.0,261.5739725356929
28.0,258.5042786598605
29.0,255.26950584387458
30.0,251.85059295560538
31.0,248.4255268573489
32.0,245.6613985281252
33.0,244.10088117140967
34.0,243.64503947631968
35.0,244.63326689407796
36.0,246.9796397029093
37.0,250.69558187740952
38.0,254.9895627611182
39.0,259.3122866401343
40.0,264.44081167917375
41.0,269.7016752702935
42.0,275.36557762266585
43.0,280.11678428036294
44.0,284.106919073177
45.0,287.5300386533546
46.0,291.3703825294555
47.0,295.7467163012796
48.0,300.848730586247
49.0,305.63524258054645
50.0,309.8710651016405
51.0,313.37853336492657
52.0,317.3054140092601
53.0,321.27675253012166
54.0,325.26043972315966
55.0,329.32483992316924
56.0,333.23894807542285
57.0,337.8854148041717
58.0,343.9078362669067
59.0,349.5705088215676
60.0,354.53549195656984
61.0,358.6359112249857
62.0,361.990990106759
63.0,364.89010629457493
64.0,369.74487711505907
65.0,375.84944595404477
66.0,381.73290447283114
67.0,387.82816375992485
68.0,394.31833126681977
69.0,400.24298767886205
70.0,405.6089387656319
71.0,410.93695934198695
72.0,415.4317323876056
73.0,420.78413860605434
74.0,426.7051265727504
75.0,433.02340115591306
76.0,439.9150840527898
77.0,447.441120978082
78.0,455.2775065531441
79.0,462.9675516186441
80.0,470.1215102137332
81.0,478.79716861554385
82.0,488.09880490833433
83.0,498.5198014794753
84.0,509.73114323778935
85.0,521.8586950577942
86.0,533.1916601951253
87.0,543.6779934630605
88.0,555.3963607405581
89.0,567.7742293631674
90.0,579.2911307621424
91.0,593.0459723512939
92.0,608.5133008977599
93.0,624.2664331335604
94.0,639.3967515708122
95.0,653.553092843626
96.0,669.6492928330364
97.0,683.8755663990487
98.0,699.5034360093787
99.0,717.2094238645949
100.0,735.7661510370885
101.0,754.1664030718296
102.0,774.430151555123
103.0,790.7500106269252
104.0,803.4080852328964
105.0,816.2716148472493
106.0,828.9118953758201
107.0,841.7337096901728
108.0,855.5413284442511
109.0,869.3795679688501
110.0,885.3270414221201
111.0,902.2416275848891
112.0,916.2137722862301
113.0,929.285697419424
114.0,944.1485545825034
115.0,960.314936493519
116.0,975.2628388058383
117.0,993.2412392285421
118.0,1012.9124989085874
119.0,1034.0533587919977
120.0,1057.6092622940691
121.0,1080.6324892471455
122.0,1103.8649494888757
123.0,1129.2745230054165
124.0,1156.3040983722958
125.0,1184.5869648875166
126.0,1216.8483515912985
127.0,1250.3123821112524
128.0,1286.7131529081921
129.0,1326.1032595199913
130.0,1366.5150906803342
131.0,1403.9781642433636
132.0,1443.0214424357373
133.0,1487.0074763337273
134.0,1532.0483377443547
135.0,1580.835955594365
136.0,1636.5966663333163
137.0,1698.1952912347351
138.0,1766.6384292829302
139.0,1842.7367010562914
140.0,1924.8484839074877
141.0,2002.512839962633
142.0,2028.7867776998332
143.0,2051.3229370681993
144.0,2072.8297674537052
145.0,2092.714333650675
146.0,2112.342864840968
147.0,2129.810772826139
148.0,2146.307934805415
149.0,2160.9217394631137
150.0,2175.8248415094854
151.0,2187.4088029800005
152.0,2197.136839428291
153.0,2207.0860264579023
154.0,2213.7462490976873
155.0,2220.3666533557375
156.0,2220.0739782969217
157.0,2219.862838093796
158.0,2215.1105117909924
159.0,2213.8312217078355
160.0,2205.588027267727
161.0,2200.6066783668475
162.0,2190.5819202593066
163.0,2183.1622776404706
164.0,2178.6950971399233
165.0,2170.0833218974594
166.0,2164.9281445453844
167.0,2157.5456171322717
168.0,2153.1787827007083
169.0,2146.112983833945
170.0,2143.6920943220584
171.0,2136.3656328925517
172.0,2135.33875138963
173.0,2127.5285143150813
174.0,2122.1846861217045
175.0,2117.438594094034
176.0,2105.0903972540714
177.0,2097.503305845469
178.0,1123.8553081352725
179.0,-506.54914454942735
