x1,x2
194,1373.589396270421 (tracked)
195,1367.9412800759249 (tracked)
196,1362.2545579927867 (tracked)
197,1356.733511853937 (tracked)
198,1351.2679374222164 (tracked)
199,1345.795531532678 (tracked)
200,1340.3516949960022 (tracked)
201,1334.93857619757 (tracked)
202,1329.5778996998258 (tracked)
203,1324.2249392843687 (tracked)
204,1318.9010349692546 (tracked)
205,1313.5720906694642 (tracked)
206,1308.2920244214163 (tracked)
207,1303.1319901088239 (tracked)
208,1298.3055602086688 (tracked)
209,1293.2831002542662 (tracked)
210,1288.1613421998716 (tracked)
211,1283.1663560603624 (tracked)
212,1278.1893748735808 (tracked)
213,1273.250611579132 (tracked)
214,1268.3488066575103 (tracked)
215,1263.4797633430328 (tracked)
216,1258.6348520184808 (tracked)
217,1253.9128007420873 (tracked)
218,1249.0850845869045 (tracked)
219,1244.3395064566341 (tracked)
220,1239.7078483156654 (tracked)
221,1235.0443912656629 (tracked)
222,1230.08393766582 (tracked)
223,1225.4023614970395 (tracked)
224,1220.8827682299375 (tracked)
225,1216.3568066199218 (tracked)
226,1211.9512361258378 (tracked)
227,1207.5623326541893 (tracked)
228,1203.2012045465506 (tracked)
229,1198.7397494978231 (tracked)
230,1194.373461614408 (tracked)
231,1189.8424425229243 (tracked)
232,1185.4642447353588 (tracked)
233,1181.2223104443851 (tracked)
234,1176.9534302282027 (tracked)
235,1172.7080741788213 (tracked)
236,1168.4448945718464 (tracked)
237,1164.206335688583 (tracked)
238,1160.169058941735 (tracked)
239,1155.9309888632272 (tracked)
240,1151.8818118523786 (tracked)
241,1147.8206638198183 (tracked)
242,1143.9175465862372 (tracked)
243,1139.895047200917 (tracked)
244,1135.744053944828 (tracked)
245,1131.7620910133826 (tracked)
246,1127.7976306912751 (tracked)
247,1123.8853388380953 (tracked)
248,1119.9155051447094 (tracked)
249,1116.0378923973853 (tracked)
250,1112.256846652413 (tracked)
251,1108.742287528309 (tracked)
252,1104.6581532225273 (tracked)
253,1100.8601101535753 (tracked)
254,1097.0728569259456 (tracked)
255,1093.347720236449 (tracked)
256,1089.6457669359722 (tracked)
257,1085.916962826527 (tracked)
258,1082.2961825059463 (tracked)
259,1078.8767144077074 (tracked)
260,1075.3094561489675 (tracked)
261,1071.5888820895145 (tracked)
262,1068.0163072766304 (tracked)
263,1064.9077290572482 (tracked)
264,1061.3405614013093 (tracked)
265,1057.143925596019 (tracked)
266,1053.8932415393185 (tracked)
267,1050.4362966426831 (tracked)
268,1046.951363183526 (tracked)
269,1043.7333592360792 (tracked)
270,1040.0383955604102 (tracked)
271,1036.6506487469574 (tracked)
272,1033.3148942500854 (tracked)
273,1030.0371604180505 (tracked)
274,1026.6835630993564 (tracked)
275,1023.3771911140832 (tracked)
276,1020.1137937817637 (tracked)
277,1016.8502057126452 (tracked)
278,1013.5969841225469 (tracked)
279,1010.3565184616076 (tracked)
280,1007.2899427684646 (tracked)
281,1004.1260923554373 (tracked)
282,1001.0704837453388 (tracked)
283,997.913490668648 (tracked)
284,994.8096043035829 (tracked)
285,991.6642944383485 (tracked)
286,988.5805309912952 (tracked)
287,985.4865580671055 (tracked)
288,982.4136261487462 (tracked)
289,979.368202659567 (tracked)
290,976.3060966088244 (tracked)
291,973.3123167868133 (tracked)
292,970.298684757465 (tracked)
293,967.3110282478419 (tracked)
294,964.333125879884 (tracked)
295,961.3709974820739 (tracked)
296,958.4071739240896 (tracked)
297,955.4964569425238 (tracked)
298,952.5940592540193 (tracked)
299,949.6356580184477 (tracked)
300,946.8228854289529 (tracked)
301,943.9477789636269 (tracked)
302,941.1088858231477 (tracked)
303,938.2798941785256 (tracked)
304,935.4675197477296 (tracked)
305,932.6680290975743 (tracked)
306,929.8784926788506 (tracked)
307,927.1068093691908 (tracked)
308,924.3500115165959 (tracked)
309,921.5656599077982 (tracked)
310,918.8388464548265 (tracked)
311,916.1213102701274 (tracked)
312,913.5461999802225 (tracked)
313,910.8670067329613 (tracked)
314,908.0670950044562 (tracked)
315,905.5375977408929 (tracked)
316,902.8933029403365 (tracked)
